RowNumber,P_hat_test,Exited
8039,0.6645712,0
7160,0.664524726,1
7081,0.664182548,1
529,0.663441882,1
6872,0.661789945,1
3146,0.661535105,1
1123,0.658870889,1
4143,0.658866659,1
2277,0.658227101,1
3550,0.65789651,1
8344,0.6575572,1
9493,0.657067726,1
7720,0.656819377,0
8911,0.655773106,1
5834,0.655348858,1
7634,0.655172281,1
1612,0.654931329,1
159,0.654904728,0
7207,0.652800789,0
6059,0.652125394,1
8055,0.652058733,1
1439,0.651679861,1
6233,0.651220079,1
9784,0.651018153,0
1166,0.650721989,0
5491,0.650559208,0
793,0.650366666,0
8551,0.650231073,1
4022,0.650159413,1
6562,0.649591536,1
8745,0.649343134,1
6892,0.648376646,1
9477,0.648194608,0
1329,0.647994751,1
5511,0.647824735,1
2095,0.646772762,0
5389,0.646671123,1
71,0.645267615,1
852,0.645055911,1
7317,0.644816142,1
1599,0.643548655,1
8353,0.643393553,1
7899,0.643355834,0
7704,0.643330944,0
3640,0.643204998,1
2348,0.642971349,1
5652,0.642353652,0
4668,0.641947025,1
1929,0.641413829,1
7478,0.641078176,1
7766,0.640840467,0
5515,0.640822385,1
4115,0.640403186,1
1071,0.639961933,1
5116,0.639766606,1
5300,0.639661003,0
631,0.639497415,1
671,0.639308681,0
8709,0.638018515,0
3611,0.638017524,1
7227,0.637953805,0
6507,0.637857085,1
7303,0.637365271,0
4362,0.637128634,1
2439,0.636834444,1
5224,0.636738236,0
9053,0.636424237,1
9103,0.63560459,0
9735,0.635055712,0
4281,0.634523979,1
9325,0.634395799,0
9737,0.634377692,0
2262,0.634038683,0
5943,0.633811809,1
9403,0.633237421,0
3284,0.63265117,0
2595,0.632592177,1
5332,0.63258477,1
5137,0.632245243,0
2576,0.632044817,1
4344,0.631295105,1
7035,0.630595388,1
7203,0.630459127,0
8305,0.629514991,0
2761,0.629022833,0
4850,0.628555026,0
6047,0.627811721,0
8020,0.627127947,0
2718,0.62697191,0
8226,0.626904383,1
7254,0.624474591,1
1449,0.62378263,1
9402,0.623480262,1
9720,0.622888655,1
4598,0.622796487,1
250,0.622239331,1
3594,0.621653639,0
3957,0.621593228,0
6290,0.621464462,1
3362,0.620890388,0
752,0.620726623,0
7515,0.620008407,1
5314,0.619990825,0
8735,0.619950411,1
8953,0.619726111,1
3110,0.619438035,1
4379,0.619009997,0
5818,0.618344671,0
9895,0.618296086,0
1390,0.618208678,1
1470,0.617775261,1
7883,0.617651361,1
8695,0.616386995,0
3914,0.616099751,1
970,0.615426426,0
7159,0.615361069,1
4002,0.615272901,1
3652,0.615136501,0
4439,0.614914083,0
8763,0.614489191,1
9022,0.614435987,0
5932,0.613572777,1
9983,0.613339898,1
9754,0.61320271,0
3410,0.613044291,1
6893,0.612911887,1
9063,0.612690588,1
8563,0.611948097,1
2857,0.609269763,1
2054,0.6091194,1
2269,0.607319454,1
6256,0.607191447,1
7092,0.607069667,1
3619,0.606552387,1
3390,0.606485584,1
5822,0.606146034,1
1374,0.605585969,1
6568,0.605502793,1
6275,0.604916876,1
2081,0.604854423,1
1905,0.604764921,0
1982,0.604606291,0
7025,0.6039657,0
3634,0.603945669,0
7627,0.60371075,0
7549,0.603235786,0
881,0.60298068,1
5033,0.602880697,0
688,0.602613338,1
9821,0.602139665,0
2656,0.601655917,0
1019,0.601133916,1
4403,0.600854455,1
9690,0.600638275,0
4755,0.600508105,1
9558,0.598948419,0
7934,0.598750554,0
2460,0.598729045,1
735,0.598453462,1
7694,0.597544092,0
244,0.597195502,1
3783,0.596956533,1
2236,0.596888312,1
5705,0.596886956,1
6302,0.59679996,0
3143,0.596636086,0
7397,0.596629133,1
4360,0.596319391,0
6900,0.596083416,1
183,0.596067729,0
3669,0.596005702,1
9534,0.595908673,1
7765,0.595840883,1
7396,0.595545395,1
9411,0.595500727,0
7004,0.595415404,1
1154,0.595387652,1
9322,0.594897023,1
7774,0.594458696,1
9820,0.594281852,1
5509,0.594150593,0
2165,0.593659855,0
9762,0.593517094,0
539,0.59348059,1
7895,0.593020422,1
7696,0.592773383,1
4951,0.592302688,0
7108,0.592243888,0
7089,0.592205242,1
4072,0.590583989,0
2540,0.590018495,1
2541,0.590008256,1
8931,0.589954902,0
6174,0.589828108,0
3827,0.589046825,0
8663,0.588272126,1
4500,0.588199889,0
6053,0.587864263,0
3734,0.58771948,0
2824,0.587657004,0
1126,0.586813069,0
4138,0.586491159,0
5456,0.586459992,1
2856,0.586359548,0
5106,0.585906858,1
2594,0.585784136,0
5100,0.585740318,1
2408,0.585516154,1
4913,0.585366155,1
1460,0.585063942,1
7059,0.584694263,1
9719,0.584663211,1
3551,0.584287629,0
8073,0.584027406,1
3804,0.583888763,1
5135,0.583723935,1
6100,0.583252564,1
7099,0.582953876,1
9074,0.582756138,1
2782,0.582391991,1
8587,0.582333548,0
4055,0.582217587,1
2373,0.582007682,1
9129,0.581786474,1
8749,0.581769917,1
8578,0.581627828,1
2028,0.58104049,1
4298,0.58091521,1
4871,0.5808638,1
3075,0.58017445,1
3350,0.580143424,1
6818,0.57979107,1
5058,0.579467539,1
8196,0.579253745,0
6358,0.578933839,0
2370,0.578678656,1
3539,0.577794612,1
5104,0.577766344,1
5160,0.577663058,0
9491,0.577527037,0
4596,0.577462119,1
1056,0.576007251,0
6554,0.575990601,1
982,0.575651406,0
5809,0.575489809,1
824,0.575454479,1
8631,0.575058038,0
1306,0.574899534,1
1508,0.574703472,0
8554,0.574594396,0
5928,0.57429509,1
9224,0.573855003,0
7789,0.573703494,0
9312,0.573606088,1
7376,0.572707366,0
964,0.572372984,1
6309,0.572114731,1
229,0.571611598,1
8399,0.571072284,1
1352,0.570958088,1
7553,0.57031853,0
9594,0.570017929,0
9992,0.570001006,1
4670,0.569118473,1
4840,0.568860566,1
730,0.568122841,1
4163,0.56812108,0
4312,0.567801018,1
86,0.566699954,0
9794,0.566087001,0
1206,0.566044423,0
9429,0.565974013,0
3255,0.565419352,1
4274,0.564933384,0
8992,0.564702234,1
8009,0.564066533,0
4785,0.563896476,1
1040,0.563724932,0
9469,0.563721742,0
7957,0.563598363,0
7550,0.563589737,1
1570,0.563157,1
3703,0.562300484,0
9577,0.562267573,0
6497,0.562147224,1
5130,0.561820695,0
5759,0.561702503,1
7157,0.561523446,0
503,0.561301793,1
6454,0.561110427,0
8018,0.560671879,0
4387,0.5605759,0
7927,0.560322069,1
4245,0.560315837,0
7716,0.559860352,1
6168,0.55985028,0
4746,0.559652813,1
818,0.559618525,1
8966,0.559044247,0
841,0.558885067,1
4478,0.558808365,0
4148,0.558090293,0
1492,0.556758603,1
9202,0.556413794,0
3542,0.556327788,0
9385,0.556229779,1
9427,0.556204233,1
2435,0.556118429,1
8494,0.555916869,1
5115,0.555309491,1
4885,0.554666422,1
2273,0.554463005,1
7970,0.55406911,1
9416,0.553900225,0
7856,0.55330464,0
9187,0.552645829,0
8643,0.552522206,0
9976,0.552360019,1
6117,0.551913793,0
8066,0.551911816,1
9698,0.551796498,1
8423,0.55141311,1
9344,0.551169561,0
7823,0.550170374,1
8674,0.549697791,1
9208,0.549479676,1
3466,0.549062603,0
1006,0.548987118,1
1699,0.548759354,0
3286,0.548521834,1
6099,0.548490345,0
7489,0.548362575,0
8117,0.548198385,1
5990,0.547877658,1
5426,0.546953157,0
9235,0.54693984,1
3430,0.546806263,1
872,0.546403384,1
7019,0.546080378,1
5443,0.546062469,1
8104,0.545825705,1
8794,0.54573564,0
5672,0.545705863,0
8788,0.545620902,0
1561,0.545416823,0
6105,0.545219143,1
2400,0.545148472,0
4197,0.544271924,1
1266,0.544107253,1
1463,0.543769995,1
2482,0.543592388,0
7524,0.543146845,0
5654,0.5428422,0
5599,0.542827252,0
2140,0.542401507,1
2814,0.542302232,1
586,0.54208007,1
3225,0.542042501,1
9902,0.541636852,0
698,0.541397719,1
9336,0.54125638,0
596,0.540528816,0
7963,0.540220163,1
603,0.539827865,0
6360,0.539648109,1
6279,0.539147314,0
860,0.539021227,1
1917,0.538997595,1
6896,0.538496202,1
1753,0.538160576,0
410,0.538009402,0
7488,0.53771021,1
1824,0.537112536,1
6506,0.537035652,1
8194,0.536694378,0
9426,0.535142735,0
5158,0.53501123,0
8011,0.534978758,1
4285,0.534715997,0
6904,0.534557368,0
3590,0.534382744,0
5342,0.534125567,0
5215,0.533901651,1
6716,0.533816944,0
3131,0.533703944,1
7094,0.533680821,1
4725,0.533468467,0
9150,0.533290752,0
3995,0.533128948,0
7145,0.533113224,1
2720,0.532987798,1
6918,0.532632342,0
6704,0.532245114,1
2013,0.532145368,0
838,0.531895022,0
4649,0.531580775,1
8266,0.531546568,1
3814,0.531455705,0
1646,0.531236865,0
4782,0.53115171,1
2912,0.531052158,0
2196,0.530138852,1
9937,0.530114549,0
5781,0.529969384,0
4639,0.529941431,0
4157,0.529674354,0
4630,0.529366252,1
4681,0.529249036,0
1506,0.529080744,1
4698,0.529047315,1
9139,0.528777923,1
235,0.528433537,0
1235,0.528348617,0
9107,0.528339785,1
2361,0.52825903,0
9537,0.52799204,1
8293,0.52797412,0
1956,0.527451635,1
3581,0.527368014,0
9142,0.527293428,0
3334,0.526866349,0
3603,0.526100471,0
5973,0.526086664,1
5858,0.52567887,1
6471,0.525509082,0
5155,0.525151315,0
3598,0.524882642,0
8901,0.524547987,0
238,0.524389744,1
689,0.52436565,1
9834,0.524150419,0
1236,0.523605003,0
3263,0.522003725,1
7363,0.521790495,0
2570,0.521631448,0
2160,0.521032737,0
4034,0.520666021,1
7518,0.520616998,1
2902,0.520370157,0
9352,0.520039255,0
8052,0.519998703,1
4458,0.519991291,0
7333,0.519852236,0
42,0.519518197,1
3881,0.519084201,0
9163,0.518755954,1
3576,0.518646862,0
560,0.51863771,0
4432,0.518590939,0
3312,0.518274131,0
5340,0.518169303,1
3268,0.517578386,0
3157,0.517500934,1
8076,0.5168338,1
8459,0.516508087,0
5722,0.516500321,1
1227,0.516343332,0
1664,0.515921793,1
6280,0.515366108,1
2313,0.515063885,1
7249,0.514826402,1
8102,0.514636348,1
933,0.514357369,0
8785,0.514250017,1
5019,0.514135503,1
775,0.513703978,1
3167,0.513223467,1
1987,0.513162507,0
9185,0.5129333,0
2749,0.512748523,1
9317,0.512684005,1
8524,0.512654184,1
2088,0.512569726,1
1565,0.512539256,0
3684,0.511902205,1
2282,0.511894152,0
2929,0.511817014,1
4491,0.511619341,0
6608,0.511284309,0
6344,0.511039826,1
7966,0.51092018,1
2150,0.510858343,1
1001,0.510809289,0
6685,0.510802244,1
613,0.510327037,0
679,0.509906581,0
7710,0.508734461,0
567,0.508461426,1
7398,0.508188678,1
3579,0.507951868,1
922,0.507885798,1
3775,0.507885798,1
6268,0.50782434,1
3277,0.507665199,0
508,0.507259815,0
8707,0.507014336,1
8171,0.506933481,1
6613,0.506886579,0
44,0.506859984,1
1874,0.506579084,0
3829,0.506489727,0
9601,0.506445566,1
5086,0.506179713,1
7760,0.506141331,1
1520,0.505962652,1
7785,0.505454654,0
6516,0.505396592,0
8320,0.505309702,0
5378,0.505264253,0
2472,0.504849206,0
990,0.504757454,1
6062,0.504611322,1
3086,0.504435292,1
1654,0.504186307,1
367,0.504175145,0
6811,0.504092618,0
9376,0.503731244,1
7458,0.503596928,1
4404,0.50341527,1
5338,0.502750248,1
7069,0.502574358,1
1867,0.502539029,0
3698,0.502451544,0
7239,0.502412171,1
6212,0.502005612,0
8445,0.50185422,0
7472,0.501689963,0
7695,0.501477563,0
6510,0.501193894,0
3898,0.501125763,0
490,0.500869361,0
7002,0.500659768,0
9649,0.500460423,0
5198,0.50040679,0
8687,0.50040679,0
1649,0.49993472,0
4492,0.499878292,0
6726,0.499836954,0
2815,0.499832612,0
1202,0.49950932,1
2121,0.499052995,1
2350,0.498963328,1
8206,0.498842754,0
8970,0.498728211,0
8178,0.498697813,0
8993,0.498267321,0
9590,0.498240691,0
1185,0.498235931,0
5665,0.49812239,1
3503,0.498086244,1
8059,0.497788322,0
8688,0.497781038,0
1997,0.497700558,1
3763,0.497316362,0
6119,0.496693105,0
2560,0.496447167,0
568,0.49614463,0
1607,0.495813321,0
4711,0.4957951,0
8278,0.495180986,0
1419,0.495018243,0
4802,0.494740647,0
770,0.494720969,1
2787,0.49440991,1
868,0.494245969,1
1918,0.494022923,1
5257,0.493916571,1
5868,0.493809257,0
9117,0.493674055,0
3144,0.493309596,0
8548,0.492791407,0
5466,0.492735087,0
2640,0.492717626,1
644,0.49247568,1
2779,0.492353737,0
7420,0.492292195,0
4029,0.492199358,0
3820,0.492062135,1
3338,0.492025946,1
139,0.491943776,1
6429,0.491842613,1
7910,0.491779893,1
3496,0.491554371,0
5039,0.491455036,0
8879,0.491373027,1
9896,0.491341474,1
242,0.491340138,0
7625,0.491222093,0
4667,0.491184415,0
2347,0.490549694,1
1252,0.490454648,1
7040,0.490375574,0
9297,0.490189187,0
8235,0.490108669,1
429,0.490078453,0
7117,0.490069349,1
1963,0.489758387,1
6929,0.489735227,1
3787,0.489666032,1
2770,0.489487917,1
7244,0.489199652,0
7096,0.488795781,1
9381,0.488602832,0
8831,0.488182437,1
4094,0.487936331,1
6179,0.48784102,0
7901,0.487645802,1
5997,0.487625784,0
5413,0.487157796,1
658,0.487077662,0
2010,0.486808373,1
6618,0.486628798,0
5458,0.486209396,0
1895,0.48571274,0
8659,0.485564688,0
6735,0.485515081,1
163,0.485203429,0
8106,0.485177285,1
7301,0.484624793,0
7339,0.484534597,1
9136,0.484310069,1
1216,0.484306441,1
476,0.484186315,1
8762,0.484177914,1
80,0.484089356,0
9319,0.483857976,0
7404,0.483566102,1
1799,0.483398624,1
7030,0.481730035,1
8389,0.481730035,1
1345,0.481340335,1
1286,0.48132471,0
5777,0.48128847,1
851,0.480969372,0
5020,0.480792369,1
6296,0.480402972,1
5485,0.480341319,1
2933,0.480284687,1
2299,0.480228643,0
8148,0.479998728,1
950,0.479611734,1
5776,0.479471202,0
407,0.479258234,1
3638,0.4791546,1
6708,0.478449747,1
2704,0.478254336,1
3762,0.47805254,0
2096,0.477883756,0
5957,0.477471833,0
5094,0.477468932,1
4195,0.477408388,0
8419,0.477384036,0
9221,0.477135249,1
7038,0.47666548,1
5186,0.476567711,1
5114,0.476219316,0
4109,0.475762165,0
3463,0.475564464,0
9969,0.475250551,0
4613,0.475134725,1
6413,0.474905304,1
9314,0.474710741,0
6670,0.474704526,1
684,0.474631508,0
3587,0.474520506,0
9286,0.473646202,0
3958,0.473129885,1
1058,0.473022468,1
7689,0.472999067,1
6858,0.47292689,1
9683,0.472887521,0
2502,0.472542272,0
1826,0.471693538,1
7175,0.471677386,0
8470,0.471527263,0
340,0.471136398,1
5660,0.471121039,1
7095,0.470673639,0
536,0.470547216,1
6519,0.470410847,1
1233,0.470043936,1
1112,0.469969733,1
262,0.469967952,0
9674,0.469550495,0
1245,0.468941156,0
9949,0.468926127,0
2314,0.468414158,0
1234,0.467973735,0
451,0.467790872,0
7727,0.467670155,0
9682,0.467551338,0
6078,0.467117375,0
1408,0.467013152,0
2075,0.466993079,1
8678,0.466361724,0
1715,0.466172114,0
4189,0.465810257,0
1061,0.465376341,0
8847,0.464987174,0
4081,0.464927418,1
4962,0.464243701,0
6603,0.464220062,0
979,0.464186234,0
348,0.463996629,0
7436,0.46378862,1
3781,0.463497646,1
3315,0.463412623,1
8919,0.463102409,1
8624,0.462747525,0
4052,0.462680616,0
7669,0.462573232,0
6086,0.462339988,1
9415,0.461663165,1
5495,0.461627375,1
3743,0.46147592,0
1273,0.461238145,0
9256,0.461216167,1
2727,0.461152636,0
4303,0.460977079,1
2725,0.460902791,0
5037,0.460381869,0
6814,0.460132404,0
4484,0.459860867,1
2357,0.459641609,0
9072,0.459544391,0
1602,0.459506543,0
8598,0.459324197,1
2506,0.459264587,0
4038,0.459099979,1
6389,0.458814092,1
1838,0.45854713,1
2520,0.458239905,0
7195,0.458225541,0
1334,0.457953811,0
9222,0.457546602,1
5240,0.457520851,0
8375,0.457426589,1
8126,0.457113535,0
385,0.456764189,0
6792,0.456386879,0
2217,0.4563654,0
8602,0.456329693,0
1830,0.456090461,1
6575,0.455990939,0
7593,0.455408961,0
4676,0.455388876,0
6450,0.45538647,1
6887,0.455211598,0
7240,0.455166194,1
929,0.45457256,0
7418,0.454560771,0
5138,0.454442513,1
8098,0.454423601,1
744,0.45425441,1
1544,0.454209609,0
7441,0.454131353,0
4388,0.453978447,0
7140,0.453978447,0
7996,0.453978447,0
7220,0.453952504,1
43,0.453635657,0
2225,0.453367332,0
9365,0.453254411,0
908,0.453213367,1
623,0.453024534,0
117,0.452904784,0
6557,0.452878909,1
717,0.452763715,0
2192,0.45272056,1
7714,0.452653795,0
4453,0.452640615,1
6326,0.452516259,1
2792,0.452100597,0
4507,0.452100597,0
5407,0.452098838,0
8232,0.45192548,1
1798,0.451844233,1
2919,0.451736783,1
9409,0.451570365,0
5090,0.451149287,0
8756,0.451111434,1
485,0.450984013,1
3036,0.450983926,1
3936,0.450872692,1
6366,0.450585269,1
3841,0.450103059,1
8999,0.450091214,0
2209,0.44956681,1
9294,0.449262007,0
3434,0.449240857,0
6852,0.449095436,0
6138,0.448558018,1
1615,0.448428953,0
6145,0.448081471,0
9339,0.44807423,0
5826,0.447570062,1
7531,0.447358063,0
4394,0.447340621,0
2846,0.447177759,1
4687,0.447106055,1
9624,0.446792676,0
7369,0.446418805,0
2677,0.446016623,1
1908,0.446005537,0
5441,0.445734827,1
5472,0.445562455,1
2003,0.445436541,0
1225,0.445370637,0
1106,0.445356825,0
5927,0.445018879,1
7802,0.444827447,1
6026,0.444731627,0
8676,0.444658339,0
6373,0.444526903,0
4995,0.444461155,1
3599,0.444385175,0
7297,0.444336815,0
2062,0.444185745,0
3528,0.443878371,0
45,0.44386937,0
9654,0.443807274,0
3921,0.443640804,0
4546,0.443633098,0
3952,0.443441652,1
2415,0.443148011,1
434,0.44200962,1
2968,0.441978663,1
9950,0.44190548,0
512,0.44171229,0
1818,0.441678981,0
105,0.441588145,1
3931,0.441378316,1
748,0.441339945,0
4753,0.441118126,0
5661,0.440919242,0
7652,0.440878472,0
1986,0.440636042,1
36,0.440617234,1
2806,0.440603487,1
50,0.440561054,0
8047,0.440407752,0
4552,0.440065707,1
905,0.440035908,1
9689,0.439967759,0
3595,0.439847946,0
1253,0.439708617,0
6496,0.439318977,1
5521,0.439184137,0
8386,0.439158896,0
7796,0.439080869,0
1855,0.439074703,1
6184,0.438951051,0
8302,0.438878997,1
3630,0.438489969,0
7023,0.438235949,1
8276,0.438127022,0
3764,0.438067497,1
4077,0.438062079,1
3922,0.437935403,1
2909,0.437930424,0
4326,0.437866426,0
8395,0.437855742,0
9711,0.437855339,0
4419,0.437751917,0
7805,0.437531168,0
5590,0.437395028,1
9412,0.436722398,1
8373,0.436665185,0
7659,0.436403504,1
8252,0.436306905,0
6369,0.436199906,1
9526,0.436087535,1
1656,0.435703623,0
3007,0.435461376,1
5425,0.435220039,1
8789,0.434852257,0
7844,0.434726764,1
8937,0.43465968,1
4510,0.434488856,0
2294,0.434151384,1
7508,0.433826267,1
8885,0.433706076,1
2267,0.433520698,1
4720,0.433501514,1
8096,0.433264594,1
2975,0.433149808,0
278,0.43311841,0
9315,0.433014049,1
5244,0.43264981,1
2696,0.432555013,1
251,0.432531805,0
3055,0.432441852,0
2064,0.432145713,1
7690,0.432064712,0
9589,0.431795634,0
6396,0.431690788,0
141,0.430941693,0
8150,0.430596677,0
4927,0.430553178,0
173,0.430492679,1
9909,0.430487716,0
3732,0.430478592,1
590,0.430390883,1
7950,0.43037289,1
8185,0.430148489,1
3950,0.429923445,0
8397,0.429658754,1
1568,0.429526365,1
3317,0.429072582,1
3648,0.428979866,0
2421,0.428925667,0
9029,0.428908691,0
3672,0.428812773,0
1041,0.428783843,0
450,0.428774983,0
763,0.428524275,1
5727,0.428455294,0
386,0.428290136,0
6602,0.428258048,1
3404,0.428206112,0
4936,0.427818659,0
2287,0.427386224,0
55,0.427288075,1
8573,0.427112835,0
785,0.426700076,1
401,0.426392482,0
3171,0.426353996,1
4293,0.426271406,1
1704,0.426239479,0
958,0.426203024,0
3999,0.425796579,1
4843,0.425601335,1
1989,0.425536618,1
431,0.425477057,1
1878,0.425387356,1
9263,0.425384876,0
5034,0.425319183,1
2548,0.425090788,0
2669,0.424949696,1
3725,0.424948394,1
6724,0.424826955,0
3604,0.424471664,1
949,0.424438828,0
468,0.424430949,1
2491,0.424350351,0
9035,0.424349897,1
9116,0.423983746,0
771,0.423928081,1
9113,0.423788272,0
757,0.423774754,0
7137,0.42368352,1
2531,0.423629881,1
1118,0.423419329,1
1952,0.423383343,1
5982,0.42326821,0
2317,0.423011869,1
9545,0.423011402,0
1010,0.422683004,0
2932,0.422201634,0
1385,0.422096687,1
9881,0.421956629,0
6337,0.42158045,0
2631,0.421485169,0
1811,0.421164479,0
5600,0.420901316,1
9541,0.420820545,1
328,0.420794368,1
1642,0.420716715,0
587,0.420714294,1
2213,0.420677943,0
4845,0.420646395,0
869,0.420567489,1
3464,0.420315187,1
9925,0.420243882,1
6712,0.419962412,0
3194,0.419755421,1
5842,0.419755421,1
4056,0.419690548,0
544,0.419558503,1
6153,0.419318126,0
7123,0.419298889,0
7342,0.419107291,1
8727,0.418383803,1
7596,0.418345923,0
1479,0.418067885,1
5909,0.418061779,1
4926,0.41804154,0
4521,0.417939047,1
1440,0.417909039,0
8230,0.417857188,0
8967,0.417847969,0
3928,0.417242827,0
3691,0.417222706,0
5687,0.417110686,1
5626,0.417006254,0
4743,0.416946793,0
737,0.416887898,0
9360,0.416769259,1
884,0.416524851,1
2881,0.416479424,1
2535,0.416420613,0
4883,0.416299534,0
636,0.416271986,0
1468,0.416065566,0
9957,0.416015441,1
1108,0.415977451,1
1709,0.415837463,0
6405,0.415837463,1
9636,0.415837463,1
2245,0.41583572,0
3882,0.415401327,0
9065,0.415104509,0
9394,0.415051448,1
7536,0.415020156,0
551,0.414790284,0
3779,0.414747302,0
1567,0.414541398,0
2341,0.414450365,1
2222,0.414385349,1
4550,0.414306843,1
7600,0.414301105,1
984,0.414144069,1
1069,0.413872916,1
3247,0.413872916,1
3500,0.413871176,0
67,0.413798731,0
9792,0.413544716,1
7641,0.413509577,0
6969,0.413458681,0
5453,0.413398229,1
3758,0.412963403,0
5651,0.412920647,0
2899,0.412786826,1
231,0.412773244,0
7811,0.412743599,0
9639,0.412644424,1
4448,0.412492705,1
7079,0.412192312,0
8111,0.411949394,0
3976,0.411930113,1
1247,0.411928375,0
4997,0.411833977,0
1697,0.411799483,0
3309,0.411425261,0
2917,0.411372308,1
2461,0.411190625,1
454,0.410826705,0
4513,0.410730433,1
3570,0.410528301,1
3939,0.410487097,1
5949,0.410439252,0
6998,0.410211893,0
156,0.409971071,1
2152,0.409971071,1
